Número de concesión|Tipo de documento|Número de solicitud|Fecha de presentación|Fecha de concesión|Clasificación CIP|Título|Resumen|Inventor(es)|Titular
Gaceta: Patentes, Registros de Modelos de Utilidad y de Diseños Industriales Volúmen: Mayo de 2012
298740|Patente|PA/a/2005/011886|04/11/2005|02/05/2012|<i>A61K38/00</i> <b>(2006-01)</b>|METODOS Y COMPOSICIONES PARA LA PREVENCION Y TRATAMIENTO DE SEPTICEMIA.|Un método para prevenir o tratar la septicemia administrando conjuntamente a un paciente una cantidad para prevenir o tratar la septicemia de uno o más inhibidores del complemento y una cantidad para prevenir o tratar la septicemia de uno o más inhibidores de la vía CD14. Los inhibidores del complemento son de preferencia anticuerpos que se unen a proteínas del complemento como C5a y las inhiben y los inhibidores de la vía CD14 son de preferencia anticuerpos que se unen a componentes de la vía CD14 como CD14 y LPS y los inhiben.|FUNG, SEK CHUNG; MOLLNES, TOM, EIRIK; Deal Street 3511, 77025, Houston, Texas, E.U.A.|TANOX, INC.*; MEDINNOVA AS; Stella Link Road 10301, 77025-5497, Houston, Texas, E.U.A.|
299163|Patente|MX/a/2007/000950|06/12/2006|14/05/2012|<i>F16K31/44</i> <b>(2006-01)</b>|CÁRTER O DEPÓSITO DE ACEITE, ESPECIALMENTE PARA UN MOTOR DE COMBUSTIÓN INTERNA|Un cárter o depósito de aceite está provisto con un dispositivo (10) de descarga ajustable colocado en una abertura (13) de descarga en las paredes del depósito de aceite, entre una posición cerrada y una posición abierta, el cual comprende un cuerpo (11) de válvula ajustable. En el cuerpo (11) de válvula del dispositivo (10) de descarga está dispuesto un elemento (12) obturador de material elástico, que en la posición cerrada cierra la abertura (13) de descarga en la pared del depósito (1) de aceite, en donde el cuerpo (11) de la válvula se fija en la posición cerrada por medio de un elemento de cierre u obturación a la pared del depósito (1) de aceite, y el elemento (12) obturador del elemento de cierre se fija en la posición cerrada.|THOMAS JESSBERGER; Ernst-Ludwig-Kirchner-Weg 4, 71679, Asperg, ALEMANIA|MANN+HUMMEL GMBH; Hindenburgstr. 45, 71638, Ludwigsburg, ALEMANIA|
299164|Patente|MX/a/2007/006722|05/06/2007|15/05/2012|<i>A61K9/14</i> <b>(2006-01)</b>; <i>A23L1/0532</i> <b>(2006-01)</b>; <i>A61K31/00</i> <b>(2006-01)</b>; <i>A61K31/4439</i> <b>(2006-01)</b>; <i>A61K33/00</i> <b>(2006-01)</b>; <i>A61K36/00</i> <b>(2006-01)</b>|COMPOSICION FARMACEUTICA ANTIACIDA EN FORMA DE POLVO, PREPARACION FARMACEUTICA QUE LA COMPRENDE Y PROCESO PARA SU PREPARACION.|Composición farmacéutica antiácida en forma de polvo para la neutralización rápida y prolongada de la acidez gástrica con actividad protectora de las mucosas, destinada a preparar por dispersión en agua una solución o suspensión farmacéutica de uso oral, en donde la composición comprende; alginato de sodio, un agente antiácido soluble o una combinación de antiácidos, un inhibidor de la bomba protónica, y agentes diluyentes y edulcorantes; en donde: (a) por lo menos un 30 % del alginato de sodio presente en la formulación junto con el total del inhibidor de la bomba protónica se encuentran distribuidos homogéneamente sobre la superficie del total del agente antiácido soluble o de la combinación de antiácidos de la composición; y (b) el resto, aproximadamente un 70 %, del alginato de sodio presente en la formulación contiene un porcentaje de humedad inferior al 2 %. Un proceso de elaboración que comprende (a) mezclar la totalidad del agente antiácido soluble o combinación de antiácidos de la composición, el total del inhibidor de la bomba protónica y hasta el 30 % del alginato de sodio de la composición son mezclados hasta homogeneidad de la mezcla a temperatura ambiente en una granuladora conveniente; (b) impregnar la mezcla de tales componentes con agua en la misma granuladora incorporando un peso total de agua no superior al 10 % del peso total de la composición farmacéutica total; (c) secar la mezcla así obtenida a presión normal, bajo vacío o lecho fluido a una temperatura inferior a 50 ºC hasta humedad residual inferior al 2%, (d) incorporar al granulado obtenido en la etapa anterior (c) anterior, el resto del alginato de sodio de la composición y componentes de la fórmula también tamizados y con humedad inferior al 2 % y mezclar durante 30 minutos; (e) controlar que la humedad residual de la composición sea inferior al 2 %, preferentemente inferior al 0.7 %, y finalmente dosificar y envasar. De esta forma la granulación húmeda del inhibidor de la bomba protónica con la totalidad del agente o agentes antiácidos de la composición, otros componentes y hasta el 30 % del alginato de la composición permite lograr una mayor estabilidad del inhibidor de la bomba protónica a través de la distribución homogénea de dicho inhibidor y parte del alginato de la composición sobre la superficie del agente antiácido. La mezcla a posteriori con hasta el 70 % del alginato de sodio presente en la formulación y otros componentes de la misma favorecería la rápida dispersión del resto del alginato de sodio de la composición e incrementaría rápidamente la viscosidad de la solución o suspensión al mezclar la composición con agua previa a la ingesta logrando una rápida formación de una suspensión homogénea de todos los componentes de la composición a posteriori de su reconstrucción con agua u otra bebida. Preferiblemente, dicha reconstrucción se realiza en un tiempo inferior a 2 minutos.|MARIO ATILIO LOS; Bdo. De Irigoyen 248, Ciudad Aut. De Buenos Aires, ARGENTINA|LABORATORIOS BAGO S.A.*; Lavalle 310, Ciudad Aut. De Buenos Aires, ARGENTINA|
299165|Patente|PA/a/2004/005767|14/06/2004|15/05/2012|<i>A61K47/26</i> <b>(2006-01)</b>; <i>A61K47/38</i> <b>(2006-01)</b>; <i>A61K9/16</i> <b>(2006-01)</b>; <i>A61K9/20</i> <b>(2006-01)</b>; <i>A61P15/12</i> <b>(2006-01)</b>; <i>A61P5/30</i> <b>(2006-01)</b>|FORMACIÓN PREVIA PARA HACER TABLETAS DE MEZCLAS NATURALES DE ESTRÓGENOS CONJUGADOS.|La invención se relaciona con una formación previa farmacéutica en forma de un extracto seco sólido libremente fluente de mezclas naturales de estrógenos equinos conjugados. Formaciones convenientes de las mezclas naturales mencionadas de estrógeno equinos conjugados se usan para formas galénicas sólidas, por ejemplo, para hacer tabletas. Los estrógenos conjugados se proporcionan para el procesamiento galénico posterior en una forma que asegura la estabilidad química de las hormonas y permite un procesamiento ventajoso para obtener formas galénicas sólidas, por ejemplo tabletas. La invención se refiere también a un método para la producción de esta formación en forma de un extracto seco.|INGO BONNACKER; BERND THUMBECK; MARTINA LERCH; Bartelscher Weg 8, D-31171, Nordstemmen, ALEMANIA|SOLVAY PHARMACEUTICALS GMBH; Hans-Böckler-Allee 20, D-30173, Hannover, ALEMANIA|
299166|Patente|MX/a/2008/014975|25/11/2008|15/05/2012|<i>D06F39/12</i> <b>(2006-01)</b>; <i>D06F19/00</i> <b>(2006-01)</b>; <i>D06F35/00</i> <b>(2006-01)</b>|APARATO PARA TRATAR PRODUCTO TEXTIL QUE TIENE UN DISPOSITIVO DE LIMPIEZA ULTRASONICO.|La invención se relaciona con un aparato para tratar producto textil en una máquina lavadora particular (1) o secadora, que comprende un cuerpo principal (4) del aparato que incluye un dispositivo de lavado y/o secado; un dispositivo de limpieza ultrasónico (30) que comprende un transductor ultrasónico y una superficie que emite ondas ultrasónicas (36); y un área de tratamiento (14) adaptada para colocar un producto textil a ser tratado sobre ella. De acuerdo a la invención, el aparato para tratar producto textil está provisto con una bandeja móvil (12), donde el área de tratamiento (14) está arreglada en o sobre la bandeja móvil; y un montaje de movimiento que conecta la bandeja móvil (12) al cuerpo principal (4) y adaptado para guiar un movimiento de la bandeja móvil entre una posición retraída y una posición de trabajo, donde en la posición retraída la bandeja móvil se retrae en el cuerpo principal (4) y en la posición de trabajo la bandeja se extiende más allá del área base del cuerpo principal.|NICOLA REID; JÉRÔME ESTEVE; Vicolo Molinari, 22, I-33170, Pordenone, ITALIA|ELECTROLUX HOME PRODUCTS CORPORATION N.V.; Belgicastraat 17, B-1930, Zaventem, BELGICA|
299167|Patente|MX/a/2009/006975|25/06/2009|15/05/2012|<i>B65D83/14</i> <b>(2006-01)</b>|ESTRUCTURA CILINDRICA COMPUESTA POR ELEMENTOS RECTANGULARES.|La presente invención se refiere a una cuba hermética y/o térmicamente aislada, que comprende una barrera de hermeticidad y/o una barrera térmicamente aislante, la barrera de hermeticidad y/o la barrera térmicamente aislante comprendiendo una estructura cilíndrica que comprende una pared vertical y una pared de fondo, la pared vertical estando compuesta por una pluralidad de caras verticales, la pared de fondo presentando una pluralidad de piezas rectangulares repartidas en sectores que son imágenes unos de otros por rotación, cada sector comprendiendo una pluralidad de componentes rectangulares adyacentes, caracterizada porque la pared de fondo tiene la forma de un polígono regular en el cual cada lado corresponde a uno de los sectores y a una de las caras, los bordes de los componentes rectangulares de un sector siendo respectivamente perpendiculares y paralelos al lado del polígono correspondiente al sector.|YVES RICHARD; ADNAN EZZARHOUNI; 8, Avenue Berthelot, F-92370, Chaville, FRANCIA|GAZTRANSPORT ET TECHNIGAZ; 1, route de Versailles, F-78470, Saint Remy Les Chevreuse, FRANCIA|
299168|Patente|MX/a/2007/005200|30/04/2007|15/05/2012|<i>C12N5/0735</i> <b>(2010-01)</b>|PLAQUETAS A PARTIR DE CELULAS GERMINALES.|Las células germinales embriónicas humanas son inducidas para diferenciarse primero en la linaje hematopoyética y después en megacariocitos, las células las cuales generan plaquetas. El cultivo in vitro apropiado de megacariocitos resulta en la producción y derrama de plaquetas. Esto hace posible, por primera vez, la producción in vitro de un factor sanguíneo humano necesario para muchos pacientes.|JAMES A. THOMSON; DONG CHENG; 1807 Regent Street, 53705, Madison, Wisconsin, E.U.A.|WISCONSIN ALUMNI RESEARCH FOUNDATION.*; 614 Walnut Street, 53707-7365, Madison, Wisconsin, E.U.A.|
299169|Patente|MX/a/2010/002585|05/03/2010|15/05/2012|<i>C07D211/58</i> <b>(2006-01)</b>; <i>A61K31/4468</i> <b>(2006-01)</b>; <i>A61P25/18</i> <b>(2006-01)</b>; <i>C07D401/04</i> <b>(2006-01)</b>|DERIVADOS DE PIPERIDINA COMO ANTAGONISTAS DEL RECEPTOR NK3.|La presente invención se refiere a un compuesto de fórmula general (I) en donde Ar1/Ar2 son independientemente uno de otro fenilo o piridinilo, los cuales son opcionalmente sustituidos por uno o dos sustituyentes, seleccionados del grupo que consiste de halógeno, alquilo inferior, alcoxi inferior, alquilo inferior sustituido por halógeno, alcoxi inferior sustituido por halógeno, alquilo inferior sustituido por alcoxi, alquilo inferior sustituido por ciano, di-alquil amino inferior, piridinilo o ciano; R1 es hidrógeno, alquilo inferior, (CH2)2O-alquil inferior, o cicloalquilo: R2 es -S(O)2-alquil inferior o -C(O)-alquil inferior; o R1 y R2 forman junto con el N-átomo al cual son unidos, un grupo pirrolidin-2-ona o un piperidin-2-ona; R3 es hidrógeno, halógeno o alquilo inferior; R4 es hidrógeno o alquilo inferior; R5/R5'son independientemente uno de otro hidrógeno, alquilo inferior, alquilo inferior sustituido por halógeno, alquilo inferior sustituido por hidroxi o cicloalquilo; o R5 y R5' forman junto con el átomo de carbono al cual son acoplados un grupo cicloalquilo, o a una sal farmacéuticamente activa del mismo. Se ha descubierto que los presentes compuestos son antagonistas de receptor NK-3 de alto potencial para el tratamiento de depresión, dolor, psicosis, enfermedad de Parkinson, esquizofrenia, ansiedad y trastorno de hiperactividad de déficit de atención (ADHD).|HASANE RATNI; HENNER KNUST; MATTHIAS NETTEKOVEN; WALTER VIFIAN; XIHAN WU; Louis Pasteur 4, F-68440, Habsheim, FRANCIA|F. HOFFMANN-LA ROCHE AG.*; 124 Grenzacherstrasse, CH-4070, Basilea, SUIZA|
299170|Patente|MX/a/2009/005518|22/05/2009|15/05/2012|<i>G01T1/24</i> <b>(2006-01)</b>|DETECTOR DE OCUPACION Y UNIDAD DE SUPLANTACION PARA EL CONTROL DE CARGA BASADO EN EL FOTODETECTOR.|Se proporciona un detector de ocupación con una unidad de suplantación separable que puede suplantar selectivamente la operación del detector de ocupación a tiempos determinados y durante intervalos de tiempo seleccionados. El detector de ocupación incluye un detector de luz para accionar el detector de ocupación y un montaje de luz cuando la luz del ambiente está por debajo de un nivel predeterminado y para desactivar el detector de ocupación cuando la luz de ambiente está por arriba de un nivel de umbral para evitar que el montaje de luz sea activado cuando el nivel de luz es suficiente para evitar la necesidad de activar el montaje de luz. La unidad de suplantación se une removiblemente al detector de ocupación y se provee con una fuente de luz, tal como un LED. La unidad de suplantación se acopla al detector de ocupación para emitir la luz para activar el detector de luz del detector de ocupación, controlando así la operación del detector de ocupación, tal como evitar que el detector de ocupación se active sin considerar el nivel de luz en las áreas circundantes. El detector de ocupación incluye una cavidad sobre la superficie superior para recibir la unidad de suplantación. El detector de luz del detector de ocupación se coloca en la cavidad. El LED en la unidad de suplantación está en un extremo que se inserta en la cavidad para alinearse con el detector de luz. Una unidad de control se conecta operativamente a una o más unidades de suplantación para controlar selectivamente la operación normal del detector de ocupación.|THOMAS J. HARTNAGEL; JONATHAN DAVID WILLIAMS; ROBERT ANDREW MARTIN; RONALD KURT BENDER; 5110 Eilers Ave., 78751, Austin, Texas, E.U.A.|HUBBELL INCORPORATED.*; 584 Derby Milford Road, 06477-4024, Orange, CT, E.U.A.|
299171|Patente|MX/a/2010/007321|01/07/2010|15/05/2012|<i>H01R13/40</i> <b>(2006-01)</b>; <i>H01R13/53</i> <b>(2006-01)</b>|CONECTOR ELECTRICO CON PROTECTOR DE ARCO, COLOCADOR DE CONTACTO DE PISTON E INTERFAZ GRADUADA DE ESFUERZO ELECTRICO.|Un conector eléctrico de alto voltaje incluye una barrera estratégicamente colocada que actúa como un protector de arco para reducir la ionización de materiales durante la conmutación de rotura de carga, reduciendo o impidiendo la descarga disruptiva. Un diseño de interfaz graduada de esfuerzo eléctrico también reduce la descarga disruptiva de conmutación y reduce la energía cercana a falla. Particularidades coincidentes del elemento de pistón-contacto y dentro del recipiente circundante guían de manera precisa el elemento de pistón-contacto a medida que se mueve a lo largo del recipiente.|SENTHIL A. KUMAR; TODD C. BOGGS; 258 Woodhaven Drive, 44321, Copley, OH, E.U.A.|HUBBELL INCORPORATED.*; 40 Waterville Drive, 06484-1000, Shelton, CT, E.U.A.|
299172|Patente|MX/a/2010/000871|22/01/2010|15/05/2012|<i>H04N7/15</i> <b>(2006-01)</b>|SISTEMA DIGITAL DE RADIODIFUSION Y METODO DE PROCESAMIENTO DE DATOS.|Se describe un sistema de radiodifusión digital y un método de procesamiento de datos. Un sistema de recepción del sistema de radiodifusión digital puede incluir una unidad de recepción de señales, un desmultiplexor, y un decodificador de audio/video. La unidad de recepción de señales recibe una señal de radiodifusión que incluye datos de servicios principales y un cuadro RS que incluye una pluralidad de paquetes de datos de servicios MPH. La unidad de desmodulación desmodula los datos del cuadro RS. El desmultiplexor identifica un paquete de datos de servicios MPH que incluye un datagrama IP de los datos de servicios móviles, con referencia a un encabezamiento MPH de cada paquete de datos de servicios MPH en el cuadro RS y cuando se insertan datos de relleno en la carga útil identificada del paquete de datos de servicios MPH, elimina los datos de relleno de la carga útil y separa los datos de audio y de video del datagrama IP de los datos de servicios móviles de la carga útil, y transmite los datos de audio y de video separados.|IN HWAN CHOI; KOOK YEON KWAK; HYOUNG GON LEE; BYOUNG GILL KIM; JONG YEUL SUH; JIN WOO KIM; WON GYU SONG; JIN PIL KIM; JAE HYUNG SONG; CHUL SOO LEE; HO TAEK HONG; JOON HUI LEE; LG Electronics Inc. IP Group, 16 Woomyeon-Dong, 137-724, Seocho-Gu, Seúl, REPUBLICA DE COREA|LG ELECTRONICS INC.; 20 Yeouido-dong, 150-721, Yeongdeungpo-gu, Seúl, REPUBLICA DE COREA|
299173|Patente|MX/a/2009/012644|23/11/2009|15/05/2012|<i>C07C61/22</i> <b>(2006-01)</b>; <i>A61K31/19</i> <b>(2006-01)</b>; <i>C07C317/14</i> <b>(2006-01)</b>; <i>C07C321/28</i> <b>(2006-01)</b>; <i>C07D213/46</i> <b>(2006-01)</b>; <i>C07D213/61</i> <b>(2006-01)</b>; <i>C07D213/64</i> <b>(2006-01)</b>; <i>C07D215/04</i> <b>(2006-01)</b>; <i>C07D217/12</i> <b>(2006-01)</b>; <i>C07D231/12</i> <b>(2006-01)</b>; <i>C07D239/34</i> <b>(2006-01)</b>; <i>C07D249/08</i> <b>(2006-01)</b>; <i>C07D277/24</i> <b>(2006-01)</b>; <i>C07D333/22</i> <b>(2006-01)</b>; <i>C07D487/04</i> <b>(2006-01)</b>|DERIVADOS DE DI(HETERO)ARILCICLOHEXANO, SU PREPARACION, SU USO Y COMPOSICIONES FARMACEUTICAS QUE LOS COMPRENDEN.|La presente invención se refiere a derivados de di(hetero)arilciclohexano de la fórmula (I), (ver fórmula I) en la que Ar1, Ar2, R1 y R2 tienen los significados que se indican en las reivindicaciones. Los compuestos de la fórmula (I) son compuestos activos farmacéuticos valiosos que inhiben los canales de potasio sensibles al ATP del músculo cardiaco, y son adecuados, por ejemplo, para tratar trastornos del sistema cardiovascular tales como arritmias o contractilidad reducida del corazón, como puede ocurrir, por ejemplo, en la cardiopatía coronaria, insuficiencia cardiaca o cardiomiopatías. En particular, son adecuados para la prevención de la muerte cardiaca súbita. La invención se refiere, además, a procedimientos e intermedios para la preparación de los compuestos de la fórmula (I), a su uso y a composiciones farmacéuticas que los comprenden.|SERGIO MALLART; HEINZ-WERNER KLEEMANN; UWE GERLACH; JEAN-MICHEL ALTENBURGER; THOMAS BÖHME; STEFANIA PFEIFFER-MAREK; DIRK GRETZKE; HENNING VOLLERT; c/o Sanofi-Aventis Deutschland GmbH, 65926, Frankfurt am Main, ALEMANIA|SANOFI-AVENTIS; 174 avenue de France, F-75013, París, FRANCIA|
299174|Patente|MX/a/2009/007202|02/07/2009|15/05/2012|<i>H01H21/54</i> <b>(2006-01)</b>|INTERRUPTOR ELECTRICO.|Un interruptor eléctrico que incluye una primera sección; y una segunda sección; y un brazo de contacto conectado giratoriamente a la primera sección. Un extremo del brazo de contacto es movible entre una posición abierta espaciada de la segunda sección yt una posición cerrada que hace contacto con la segunda sección. La segunda sección incluye un conjunto de leva configurado para ayudar a mover el extremo del brazo de contacto entre las posiciones abierta y cerrada.|ROBERT V. DE FRANCE; 48 Catskill Ave., 12603, Poughkeepsi, NY, E.U.A.|HUBBELL INCORPORATED.*; 40 Waterview Drive, 06484, Shelton, Connecticut, E.U.A.|
299175|Patente|MX/a/2007/008605|16/07/2007|15/05/2012|<i>H04H60/85</i> <b>(2008-01)</b>; <i>H04W4/20</i> <b>(2009-01)</b>|METODO PARA TRANSMITIR Y RECIBIR DIRECCIONES DE INTERNET EN LA TERMINAL DE COMUNICACION MOVIL.|Un método de comunicación en la terminal móvil que incluye tener acceso a una página de la Red de una dirección específica de Internet que usa un explorador de la red en una primera terminal móvil, entrar en una pantalla de ingreso de mensaje en la cual se despliega automáticamente la información relacionada a la dirección específica de Internet, y transmitir un mensaje que incluye la información relacionada a la dirección específica de Internet a al menos una segunda terminal móvil.|YEON WOO PARK; Sinbanpo Hanshin Apt. 315-712, Jamwon-dong, Seocho-gu, Seúl, REPUBLICA DE COREA|LG ELECTRONICS INC.; 20 Yeouido-dong, 150-721, Youngdeungpo-gu, Seúl, REPUBLICA DE COREA|
299176|Patente|MX/a/2008/016323|18/12/2008|15/05/2012|<i>E05F15/20</i> <b>(2006-01)</b>; <i>G05D13/02</i> <b>(2006-01)</b>|SISTEMA Y METODO PARA CONTROLAR LA VELOCIDAD DE UN MIEMBRO DE CIERRE.|Un sistema de cierre para controlar la velocidad de un miembro de cierre, en donde el sistema de cierre incluye un controlador para la transición de la velocidad de un miembro de cierre que se opera en respuesta a un obstáculo que se detecta en la trayectoria del miembro de cierre. En una modalidad, el algoritmo de control de la velocidad lineal determina la transición de velocidad. En respuesta a la detección del contacto con un obstáculo, el controlador puede. usar un proceso de contacto convencional para detener o revertir el miembro de cierre. El sistema de cierre proporciona una más alta velocidad de cierre del miembro de cierre que los sistemas de cierre convencionales.|THOMAS P. FROMMER; WASIM TAHIR; 4800 Herald Road, L0G 1M0, Mount Albert, Ontario, CANADA|FLEXTRONICS AUTOMOTIVE INC.; 365 Passmore Avenue, M1V 4B3, Scarborough, Ontario, CANADA|
299177|Patente|MX/a/2010/013975|16/12/2010|15/05/2012|<i>C07D217/24</i> <b>(2006-01)</b>; <i>A61K31/472</i> <b>(2006-01)</b>; <i>A61P27/00</i> <b>(2006-01)</b>; <i>A61P9/00</i> <b>(2006-01)</b>|ISOQUINOLINAS E ISOQUINOLINONAS SUSTITUIDAS EN CALIDAD DE INHIBIDORES DE LA RHO-QUINASA.|La presente invención se refiere a isoquinolinas e isoquinolinonas sustituidas de la fórmula (I) (ver fórmula I) útiles para el tratamiento y/o prevención de enfermedades asociadas con la Rho-quinasa y/o la fosforilación mediada por la Rho-quinasa de la fosfatasa de miosina de cadena ligera, y a composiciones que contienen dichos compuestos.|HEINZ-WERNER KLEEMANN; OLIVER PLETTENBURG; MATTHIAS LOEHN; KATRIN LORENZ; FRÉDÉRIC JEANNOTT; JOHN WESTON; OLIVIER DUCLOS; Sanofi-Aventis Deutschland GmbH, 65926, Frankfurt am Main, ALEMANIA|SANOFI-AVENTIS; 174, avenue de France, 75013, Paris, FRANCIA|
299178|Patente|MX/a/2010/006862|18/06/2010|15/05/2012|<i>A61K31/4418</i> <b>(2006-01)</b>|COMPUESTOS DE CARBAMOILO COMO INHIBIDORES 190 DE DIACILGLICEROLACILTRANSFERASA (DGAT1).|Se describen compuestos inhibidores de DGAT1 de fórmula (I), sales farmacéuticamente aceptables y profármacos de los mismos, junto con composiciones farmacéuticas, procesos para hacerlas y su uso en tratar, por ejemplo, la obesidad en donde, por ejemplo, el Anillo A es 2,6-pirazindiilo opcionalmente sustituido; X es =O; el Anillo B es 1,4-fenileno opcionalmente sustituido; Y1 es un enlace directo u -O; Y2 es -(CH2)- en donde r es 2 ó 3; n es 0 ó n es 1 cuando Y1 es un enlace directo entre el Anillo B y el Anillo C y cuando el Anillo B es 1,4-fenileno y el Anillo C es cicloalcano de 4 a 6 átomos de carbono; El Anillo C es cicloalcano 4 a 6 átomos de carbono sustituido opcionalmente, bicicloalcano de 7 a 10 átomos de carbono, tricicloalcano de 8 a 12 átomos de carbono, fenileno o piridindiilo; L es un enlace directo u -O; p es 0, 1 ó 2 y cuando p es 1 ó 2 RA1 y RA2 son cada uno independiente hidrógeno o alquilo de 1 a 4 átomos de carbono; Z es carboxi o un imitador o bioisostero del mismo.|CLIVE GREEN; ROGER JOHN BUTLIN; ALAN MARTIN BIRCH; JAN MAGNUS JOHANSSON; ANDREW LEACH; UDO ANDREAS BAUER; JONAS GUNNAR BARLIND; RAGNAR HOVLAND; PETRA JOHANNESSON; ALEXANDER TOBIAS NOESKE; ANNIKA ULRIKA PETERSSON; AstraZeneca R & D Mölndal, S-431 83, Mölndal, , FRANCIA|ASTRAZENECA AB; , S-151 85, Södertälje, , SUECIA|
299179|Patente|MX/a/2010/001705|12/02/2010|15/05/2012|<i>A01N43/32</i> <b>(2006-01)</b>; <i>A01N43/54</i> <b>(2006-01)</b>; <i>C07D239/42</i> <b>(2006-01)</b>; <i>C07D339/08</i> <b>(2006-01)</b>|CO-CRISTALES DE PIRIMETANILO Y DITIANONA.|La presente invención se refiere a co-cristales de pirimetanilo y ditianona, que en un difractograma de polvo de rayos X a 25°C muestran por lo menos tres de los siguientes reflejos: 20 = 7.46 ± 0,20, 20 = 9.98 ± 020, 20 = 13.28 ± 0,20, 20 = 23.09 ± 0,20, 20 = 24.38 ± 0,20, 20 = 27.01 ± 0,20. Un proceso para su preparación y su uso para la preparación de composiciones para la protección de cultivos.|HEIDI EMILIA SAXELL; CHRISTIAN SOWA; RALF VOGEL; Goethestrasse 51 a, 67435, Neustadt, ALEMANIA|BASF SE; , 67056, Ludwigshafen, ALEMANIA|
299180|Patente|MX/a/2010/000917|22/01/2010|15/05/2012|<i>C08C19/04</i> <b>(2006-01)</b>; <i>C08C19/20</i> <b>(2006-01)</b>; <i>C08C19/22</i> <b>(2006-01)</b>; <i>C08F8/06</i> <b>(2006-01)</b>; <i>C08F8/32</i> <b>(2006-01)</b>; <i>C08F8/34</i> <b>(2006-01)</b>; <i>C08J3/24</i> <b>(2006-01)</b>; <i>C08L95/00</i> <b>(2006-01)</b>|POLIMERO INJERTADO Y COMPOSICION DE BITUMEN CON RETICULACION TERMORREVERSIBLE QUE COMPRENDE DICHO POLIMERO INJERTADO.|La invención se refiere a una composición bitumen/polímero que comprende al menos un bitumen y al menos un polímero injertado, permitiendo los injertos la reticulación de forma termorreversible de las composiciones bitumen/polímero. La invención se refiere igualmente a la utilización de estas composiciones bitumen/polímero en el campo de las aplicaciones viarias, especialmente en la fabricación de aglutinantes para carreteras, y en el campo de las aplicaciones industriales. La invención se refiere también al procedimiento de preparación de estas composiciones bitumen/polímero reticuladas de forma termorreversible.|PIERRE CHAVEROT; CHARLOTTE GODIVIER; LUDWIK LEIBLER; ILIAS ILIOPOULOS; AMANDA KATHRYN LEACH; Jurieux, F-42800, Sainte-Croix en Jarez, , FRANCIA|TOTAL RAFFINAGE MARKETING.*; CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE-CNRS.*; 24, cours Michelet, F-92800, Puteaux, , FRANCIA|
299181|Patente|MX/a/2009/009206|28/08/2009|15/05/2012|<i>B65D5/42</i> <b>(2006-01)</b>|VALVULA SURTIDORA CON RESISTENCIA DE MARTINETE HIDRÁULICO.|La presente invención se refiere a una válvula surtidora de fluidos que tiene en general una configuración circular en relación con un eje longitudinal a lo largo del cual se puede surtir una sustancia fluida desde la válvula en una dirección del flujo de descarga, la válvula tiene una dirección axialmente hacia fuera que se define por la dirección del flujo de descarga, y la válvula tiene una dirección axialmente hacia adentro que se define como la dirección contraria a la dirección axialmente hacia fuera, la válvula comprende: (A) una parte del montaje periférico; (B) un cabezal de válvula que es flexible y resiliente, el cabezal de válvula que tiene (1) un orificio normalmente cerrado que se define por al menos una ranura y que se puede abrir para permitir un flujo de descarga de la sustancia, (2) una posición cerrada, totalmente retraída que es axialmente hacia adentro de por lo menos otra parte de la válvula, (3) una superficie exterior que (a) puede formar interfaz con el entorno en el exterior de la válvula, y (b) tiene en general una configuración rebajada vista desde el exterior de la válvula cuando el cabezal de la válvula está en la posición cerrada, totalmente retraído, y (4) una superficie interior que (a) puede formar interfaz con una sustancia fluida en el interior de la válvula, (b) tiene una parte de superficie radialmente externa con una configuración en arco convexa cuando es vista desde el interior de la válvula cuando el cabezal de la válvula está en la posición cerrada, totalmente retraída, y (c) tiene una parte de superficie interna central que (i) está radialmente dentro de la parte de la superficie radialmente externa, (ji) se abulta axialmente hacia adentro para sobresalir desde la parte de la superficie radialmente externa, y (iii) tiene una configuración en arco conexa cuando es vista desde el interior de la válvula cuando la válvula está en la posición cerrada, totalmente retraída, y (5) un espesor entre la superficie exterior y la superficie interior de la parte de superficie interior central que es más gruesa en el centro en el eje longitudinal que el espesor de la cabeza en la circunferencia de la superficie interior central de la porción de superficie interior; y (C) una manga de unión que (1) es flexible y resiliente, (2) define una forma generalmente tubular sobre por lo menos una parte de. la longitud de la manga, y (3) se extiende entre, y conecta, la parte del montaje periférico y el cabezal de la válvula en una configuración que, cuando la válvula se somete a un diferencial de presión suficiente, se dobla y extiende de manera basculante en la dirección hacia fuera a medida que el cabezal de la válvula se mueve desde la posición cerrada, totalmente retraída a una posición extendida que está axialmente hacia afuera de la posición cerrada, totalmente retraída y que acomoda la abertura del orificio.|GREGORY M. OLECHOWSKI; DAVID J. GAUS; MARK R. HONARD; 7531 Hart Road, 48609, Saginaw, Michigan, E.U.A.|LIQUID MOLDING SYSTEMS, INC.; 2202 Ridgewood Drive, 48642, Midland, MI, E.U.A.|
